"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1","dist_a","dist_b"
"11683","POAL",3,1,"3_188.5",0,NA,2009,2012,3,4,0,NA,2013,1,4,0,NA,NA,NA
"11684","POAL",3,1,"3_188.5",0,NA,2009,2013,4,4,0,NA,2014,0,NA,NA,NA,NA,NA
"11685","POAL",3,1,"3_189",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11686","POAL",3,1,"3_189.5",0,NA,2009,2009,0,1,0,NA,2010,1,5,0,NA,NA,NA
"11687","POAL",3,1,"3_189.5",0,NA,2009,2010,1,5,0,NA,2011,1,3,0,NA,NA,NA
"11688","POAL",3,1,"3_189.5",0,NA,2009,2011,2,3,0,NA,2012,0,NA,NA,NA,NA,NA
"11689","POAL",3,1,"3_19",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11690","POAL",3,1,"3_19.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11691","POAL",3,1,"3_190",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11692","POAL",3,1,"3_190.5",0,NA,2010,2010,0,1,0,NA,2011,1,3,0,NA,NA,NA
"11693","POAL",3,1,"3_190.5",0,NA,2010,2011,1,3,0,NA,2012,1,4,0,NA,NA,NA
"11694","POAL",3,1,"3_190.5",0,NA,2010,2012,2,4,0,NA,2013,1,4,0,NA,NA,NA
"11695","POAL",3,1,"3_190.5",0,NA,2010,2013,3,4,0,NA,2014,0,NA,NA,NA,NA,NA
"11696","POAL",3,1,"3_191",0,NA,2011,2011,0,1,0,NA,2012,1,6,0,NA,NA,NA
"11697","POAL",3,1,"3_191",0,NA,2011,2012,1,6,0,NA,2013,1,1,0,NA,NA,NA
"11698","POAL",3,1,"3_191",0,NA,2011,2013,2,1,0,NA,2014,1,11,1,92,NA,NA
"11699","POAL",3,1,"3_191",0,NA,2011,2014,3,11,1,92,2015,0,NA,NA,NA,NA,NA
"11700","POAL",3,1,"3_191.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11701","POAL",3,1,"3_192",0,NA,2011,2011,0,1,0,NA,2012,1,8,0,NA,NA,NA
"11702","POAL",3,1,"3_192",0,NA,2011,2012,1,8,0,NA,2013,0,NA,NA,NA,NA,NA
"11703","POAL",3,1,"3_192.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11704","POAL",3,1,"3_193",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11705","POAL",3,1,"3_193.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11706","POAL",3,1,"3_194",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11707","POAL",3,1,"3_194.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11708","POAL",3,1,"3_195",0,NA,2011,2011,0,1,0,NA,2012,1,1,0,NA,NA,NA
"11709","POAL",3,1,"3_195",0,NA,2011,2012,1,1,0,NA,2013,1,2,0,NA,NA,NA
"11710","POAL",3,1,"3_195",0,NA,2011,2013,2,2,0,NA,2014,1,1,0,NA,NA,NA
"11711","POAL",3,1,"3_195",0,NA,2011,2014,3,1,0,NA,2015,0,NA,NA,NA,NA,NA
"11712","POAL",3,1,"3_195.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11713","POAL",3,1,"3_196",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11714","POAL",3,1,"3_196.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11715","POAL",3,1,"3_197",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11716","POAL",3,1,"3_197.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11717","POAL",3,1,"3_198",0,1,2011,2011,0,4,0,NA,2012,1,4,1,45,NA,NA
"11718","POAL",3,1,"3_198",0,1,2011,2012,1,4,1,45,2013,1,1,0,NA,NA,NA
"11719","POAL",3,1,"3_198",0,1,2011,2013,2,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11720","POAL",3,1,"3_198.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11721","POAL",3,1,"3_199",0,NA,2011,2011,0,1,0,NA,2012,1,1,0,NA,NA,NA
"11722","POAL",3,1,"3_199",0,NA,2011,2012,1,1,0,NA,2013,0,NA,NA,NA,NA,NA
"11723","POAL",3,1,"3_199.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11724","POAL",3,1,"3_2",0,NA,2009,2009,0,1,0,NA,2010,1,13,2,NA,NA,NA
"11725","POAL",3,1,"3_2",0,NA,2009,2010,1,13,2,NA,2011,0,NA,NA,NA,NA,NA
"11726","POAL",3,1,"3_2.5",0,NA,2009,2009,0,1,0,NA,2010,1,4,0,NA,NA,NA
"11727","POAL",3,1,"3_2.5",0,NA,2009,2010,1,4,0,NA,2011,1,3,0,NA,NA,NA
"11728","POAL",3,1,"3_2.5",0,NA,2009,2011,2,3,0,NA,2012,0,NA,NA,NA,NA,NA
"11729","POAL",3,1,"3_20",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA,NA,NA
"11730","POAL",3,1,"3_20.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11731","POAL",3,1,"3_200",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11732","POAL",3,1,"3_200.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11733","POAL",3,1,"3_201",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA,NA,NA
"11734","POAL",3,1,"3_201.5",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA,NA,NA
"11735","POAL",3,1,"3_202",0,NA,2011,2011,0,1,0,NA,2012,1,1,0,NA,NA,NA
